Series Name,Series Code,Country Name,Country Code,1960 [YR1960],2017 [YR2017]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,8996351,35530081
"Population, total",SP.POP.TOTL,Albania,ALB,1608800,2873457
"Population, total",SP.POP.TOTL,Algeria,DZA,11124888,41318142
"Population, total",SP.POP.TOTL,American Samoa,ASM,20013,55641
"Population, total",SP.POP.TOTL,Andorra,AND,13411,76965
"Population, total",SP.POP.TOTL,Angola,AGO,5643182,29784193
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,55339,102012
"Population, total",SP.POP.TOTL,Argentina,ARG,20619075,44271041
"Population, total",SP.POP.TOTL,Armenia,ARM,1874120,2930450
"Population, total",SP.POP.TOTL,Aruba,ABW,54211,105264
"Population, total",SP.POP.TOTL,Australia,AUS,10276477,24598933
"Population, total",SP.POP.TOTL,Austria,AUT,7047539,8809212
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,3895396,9862429
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,109528,395361
"Population, total",SP.POP.TOTL,Bahrain,BHR,162427,1492584
"Population, total",SP.POP.TOTL,Bangladesh,BGD,48199747,164669751
"Population, total",SP.POP.TOTL,Barbados,BRB,230939,285719
"Population, total",SP.POP.TOTL,Belarus,BLR,8198000,9507875
"Population, total",SP.POP.TOTL,Belgium,BEL,9153489,11372068
"Population, total",SP.POP.TOTL,Belize,BLZ,92064,374681
"Population, total",SP.POP.TOTL,Benin,BEN,2431622,11175692
"Population, total",SP.POP.TOTL,Bermuda,BMU,44400,65441
"Population, total",SP.POP.TOTL,Bhutan,BTN,223288,807610
"Population, total",SP.POP.TOTL,Bolivia,BOL,3693449,11051600
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3225668,3507017
"Population, total",SP.POP.TOTL,Botswana,BWA,524552,2291661
"Population, total",SP.POP.TOTL,Brazil,BRA,72207554,209288278
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,8033,31196
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,81745,428697
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7867374,7075991
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,4829288,19193382
"Population, total",SP.POP.TOTL,Burundi,BDI,2786106,10864245
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,202310,546388
"Population, total",SP.POP.TOTL,Cambodia,KHM,5722370,16005373
"Population, total",SP.POP.TOTL,Cameroon,CMR,5176268,24053727
"Population, total",SP.POP.TOTL,Canada,CAN,17909009,36708083
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,7865,61559
"Population, total",SP.POP.TOTL,Central African Republic,CAF,1503508,4659080
"Population, total",SP.POP.TOTL,Chad,TCD,3001593,14899994
"Population, total",SP.POP.TOTL,Channel Islands,CHI,109420,165314
"Population, total",SP.POP.TOTL,Chile,CHL,7716625,18054726
"Population, total",SP.POP.TOTL,China,CHN,667070000,1386395000
"Population, total",SP.POP.TOTL,Colombia,COL,16480383,49065615
"Population, total",SP.POP.TOTL,Comoros,COM,191121,813912
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,15248251,81339988
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,1037220,5260750
"Population, total",SP.POP.TOTL,Costa Rica,CRI,1333040,4905769
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,3558988,24294750
"Population, total",SP.POP.TOTL,Croatia,HRV,4140000,4125700
"Population, total",SP.POP.TOTL,Cuba,CUB,7141135,11484636
"Population, total",SP.POP.TOTL,Curacao,CUW,124826,161014
"Population, total",SP.POP.TOTL,Cyprus,CYP,572930,1179551
"Population, total",SP.POP.TOTL,Czech Republic,CZE,9602006,10591323
"Population, total",SP.POP.TOTL,Denmark,DNK,4579603,5769603
"Population, total",SP.POP.TOTL,Djibouti,DJI,83636,956985
"Population, total",SP.POP.TOTL,Dominica,DMA,60011,73925
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,3294042,10766998
"Population, total",SP.POP.TOTL,Ecuador,ECU,4545550,16624858
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,26996533,97553151
"Population, total",SP.POP.TOTL,El Salvador,SLV,2762899,6377853
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,255323,1267689
"Population, total",SP.POP.TOTL,Eritrea,ERI,1397491,..
"Population, total",SP.POP.TOTL,Estonia,EST,1211537,1315480
"Population, total",SP.POP.TOTL,Eswatini,SWZ,349174,1367254
"Population, total",SP.POP.TOTL,Ethiopia,ETH,22151278,104957438
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,34661,49290
"Population, total",SP.POP.TOTL,Fiji,FJI,393386,905502
"Population, total",SP.POP.TOTL,Finland,FIN,4429634,5511303
"Population, total",SP.POP.TOTL,France,FRA,46814237,67118648
"Population, total",SP.POP.TOTL,French Polynesia,PYF,78076,283007
"Population, total",SP.POP.TOTL,Gabon,GAB,499184,2025137
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,367928,2100568
"Population, total",SP.POP.TOTL,Georgia,GEO,3645600,3717100
"Population, total",SP.POP.TOTL,Germany,DEU,72814900,82695000
"Population, total",SP.POP.TOTL,Ghana,GHA,6652287,28833629
"Population, total",SP.POP.TOTL,Gibraltar,GIB,23394,34571
"Population, total",SP.POP.TOTL,Greece,GRC,8331725,10760421
"Population, total",SP.POP.TOTL,Greenland,GRL,32500,56171
"Population, total",SP.POP.TOTL,Grenada,GRD,89869,107825
"Population, total",SP.POP.TOTL,Guam,GUM,66742,164229
"Population, total",SP.POP.TOTL,Guatemala,GTM,4210747,16913503
"Population, total",SP.POP.TOTL,Guinea,GIN,3577409,12717176
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,616409,1861283
"Population, total",SP.POP.TOTL,Guyana,GUY,571819,777859
"Population, total",SP.POP.TOTL,Haiti,HTI,3866159,10981229
"Population, total",SP.POP.TOTL,Honduras,HND,2038637,9265067
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,3075605,7391700
"Population, total",SP.POP.TOTL,Hungary,HUN,9983967,9781127
"Population, total",SP.POP.TOTL,Iceland,ISL,175574,341284
"Population, total",SP.POP.TOTL,India,IND,449480608,1339180127
"Population, total",SP.POP.TOTL,Indonesia,IDN,87792515,263991379
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,21906903,81162788
"Population, total",SP.POP.TOTL,Iraq,IRQ,7289761,38274618
"Population, total",SP.POP.TOTL,Ireland,IRL,2828600,4813608
"Population, total",SP.POP.TOTL,Isle of Man,IMN,48442,84287
"Population, total",SP.POP.TOTL,Israel,ISR,2114020,8712400
"Population, total",SP.POP.TOTL,Italy,ITA,50199700,60551416
"Population, total",SP.POP.TOTL,Jamaica,JAM,1628252,2890299
"Population, total",SP.POP.TOTL,Japan,JPN,92500572,126785797
"Population, total",SP.POP.TOTL,Jordan,JOR,932257,9702353
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,9714260,18037646
"Population, total",SP.POP.TOTL,Kenya,KEN,8105440,49699862
"Population, total",SP.POP.TOTL,Kiribati,KIR,41233,116398
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,11424176,25490965
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,25012374,51466201
"Population, total",SP.POP.TOTL,Kosovo,XKX,947000,1830700
"Population, total",SP.POP.TOTL,Kuwait,KWT,269618,4136528
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,2172300,6201500
"Population, total",SP.POP.TOTL,Lao PDR,LAO,2120896,6858160
"Population, total",SP.POP.TOTL,Latvia,LVA,2120979,1940740
"Population, total",SP.POP.TOTL,Lebanon,LBN,1804926,6082357
"Population, total",SP.POP.TOTL,Lesotho,LSO,851591,2233339
"Population, total",SP.POP.TOTL,Liberia,LBR,1120313,4731906
"Population, total",SP.POP.TOTL,Libya,LBY,1448417,6374616
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,16495,37922
"Population, total",SP.POP.TOTL,Lithuania,LTU,2778550,2827721
"Population, total",SP.POP.TOTL,Luxembourg,LUX,313970,599449
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,167796,622567
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,1488667,2083160
"Population, total",SP.POP.TOTL,Madagascar,MDG,5099373,25570895
"Population, total",SP.POP.TOTL,Malawi,MWI,3618595,18622104
"Population, total",SP.POP.TOTL,Malaysia,MYS,8157106,31624264
"Population, total",SP.POP.TOTL,Maldives,MDV,89887,436330
"Population, total",SP.POP.TOTL,Mali,MLI,5263733,18541980
"Population, total",SP.POP.TOTL,Malta,MLT,326550,465292
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,14662,53127
"Population, total",SP.POP.TOTL,Mauritania,MRT,858168,4420184
"Population, total",SP.POP.TOTL,Mauritius,MUS,659351,1264613
"Population, total",SP.POP.TOTL,Mexico,MEX,38174112,129163276
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,44537,105544
"Population, total",SP.POP.TOTL,Moldova,MDA,2544000,3549750
"Population, total",SP.POP.TOTL,Monaco,MCO,22452,38695
"Population, total",SP.POP.TOTL,Mongolia,MNG,955505,3075647
"Population, total",SP.POP.TOTL,Montenegro,MNE,480579,622471
"Population, total",SP.POP.TOTL,Morocco,MAR,12328532,35739580
"Population, total",SP.POP.TOTL,Mozambique,MOZ,7388695,29668834
"Population, total",SP.POP.TOTL,Myanmar,MMR,20986123,53370609
"Population, total",SP.POP.TOTL,Namibia,NAM,602544,2533794
"Population, total",SP.POP.TOTL,Nauru,NRU,4433,13649
"Population, total",SP.POP.TOTL,Nepal,NPL,10063011,29304998
"Population, total",SP.POP.TOTL,Netherlands,NLD,11486631,17132854
"Population, total",SP.POP.TOTL,New Caledonia,NCL,79000,280460
"Population, total",SP.POP.TOTL,New Zealand,NZL,2371800,4793900
"Population, total",SP.POP.TOTL,Nicaragua,NIC,1774699,6217581
"Population, total",SP.POP.TOTL,Niger,NER,3388764,21477348
"Population, total",SP.POP.TOTL,Nigeria,NGA,45137812,190886311
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,10035,55144
"Population, total",SP.POP.TOTL,Norway,NOR,3581239,5282223
"Population, total",SP.POP.TOTL,Oman,OMN,551740,4636262
"Population, total",SP.POP.TOTL,Pakistan,PAK,44908293,197015955
"Population, total",SP.POP.TOTL,Palau,PLW,9642,21729
"Population, total",SP.POP.TOTL,Panama,PAN,1132921,4098587
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,2010677,8251162
"Population, total",SP.POP.TOTL,Paraguay,PRY,1902875,6811297
"Population, total",SP.POP.TOTL,Peru,PER,10061515,32165485
"Population, total",SP.POP.TOTL,Philippines,PHL,26273025,104918090
"Population, total",SP.POP.TOTL,Poland,POL,29637450,37975841
"Population, total",SP.POP.TOTL,Portugal,PRT,8857716,10293718
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,2358000,3337177
"Population, total",SP.POP.TOTL,Qatar,QAT,47384,2639211
"Population, total",SP.POP.TOTL,Romania,ROU,18406905,19586539
"Population, total",SP.POP.TOTL,Russian Federation,RUS,119897000,144495044
"Population, total",SP.POP.TOTL,Rwanda,RWA,2933428,12208407
"Population, total",SP.POP.TOTL,Samoa,WSM,108646,196440
"Population, total",SP.POP.TOTL,San Marino,SMR,15397,33400
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,64253,204327
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,4086539,32938213
"Population, total",SP.POP.TOTL,Senegal,SEN,3206749,15850567
"Population, total",SP.POP.TOTL,Serbia,SRB,..,7022268
"Population, total",SP.POP.TOTL,Seychelles,SYC,41700,95843
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,2297110,7557212
"Population, total",SP.POP.TOTL,Singapore,SGP,1646400,5612253
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,..,41109
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,4068095,5439892
"Population, total",SP.POP.TOTL,Slovenia,SVN,1584720,2066748
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,117866,611343
"Population, total",SP.POP.TOTL,Somalia,SOM,2755947,14742523
"Population, total",SP.POP.TOTL,South Africa,ZAF,17456855,56717156
"Population, total",SP.POP.TOTL,South Sudan,SSD,2955152,12575714
"Population, total",SP.POP.TOTL,Spain,ESP,30455000,46572028
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,9874481,21444000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,51195,55345
"Population, total",SP.POP.TOTL,St. Lucia,LCA,89897,178844
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,4279,32125
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,80949,109897
"Population, total",SP.POP.TOTL,Sudan,SDN,7544491,40533330
"Population, total",SP.POP.TOTL,Suriname,SUR,289966,563402
"Population, total",SP.POP.TOTL,Sweden,SWE,7484656,10067744
"Population, total",SP.POP.TOTL,Switzerland,CHE,5327827,8466017
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,4573512,18269868
"Population, total",SP.POP.TOTL,Tajikistan,TJK,2087038,8921343
"Population, total",SP.POP.TOTL,Tanzania,TZA,10074507,57310019
"Population, total",SP.POP.TOTL,Thailand,THA,27397175,69037513
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,499950,1296311
"Population, total",SP.POP.TOTL,Togo,TGO,1580513,7797694
"Population, total",SP.POP.TOTL,Tonga,TON,61601,108020
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,848479,1369125
"Population, total",SP.POP.TOTL,Tunisia,TUN,4176266,11532127
"Population, total",SP.POP.TOTL,Turkey,TUR,27472331,80745020
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,1603258,5758075
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,5726,35446
"Population, total",SP.POP.TOTL,Tuvalu,TUV,6104,11192
"Population, total",SP.POP.TOTL,Uganda,UGA,6788214,42862958
"Population, total",SP.POP.TOTL,Ukraine,UKR,42662149,44831159
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,92634,9400145
"Population, total",SP.POP.TOTL,United Kingdom,GBR,52400000,66022273
"Population, total",SP.POP.TOTL,United States,USA,180671000,325719178
"Population, total",SP.POP.TOTL,Uruguay,URY,2538651,3456750
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,8549493,32387200
"Population, total",SP.POP.TOTL,Vanuatu,VUT,63699,276244
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,8146847,31977065
"Population, total",SP.POP.TOTL,Vietnam,VNM,32670629,95540800
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,32500,107268
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,..,4684777
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,5172135,28250420
"Population, total",SP.POP.TOTL,Zambia,ZMB,3044846,17094130
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,3747369,16529904
"Population, total",SP.POP.TOTL,Arab World,ARB,92490932,414491886
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,4198307,7284294
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,91401583,102727102
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,979287407,3213426923
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,1039944591,2314364990
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,893956327,2068308373
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,882521780,2042783496
"Population, total",SP.POP.TOTL,Euro area,EMU,265396502,341465149
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,667246384,915545801
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,274947938,415546194
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,308725388,457647735
"Population, total",SP.POP.TOTL,European Union,EUU,409498463,512461290
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,119967877,511336623
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,162495580,765112280
"Population, total",SP.POP.TOTL,High income,HIC,780501923,1249066228
"Population, total",SP.POP.TOTL,IBRD only,IBD,1917374485,4743263932
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,2299864225,6353204601
"Population, total",SP.POP.TOTL,IDA blend,IDB,123195063,533023458
"Population, total",SP.POP.TOTL,IDA only,IDX,259294677,1076917211
"Population, total",SP.POP.TOTL,IDA total,IDA,382489740,1609940669
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,1097220852,2278227192
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,220434662,644137666
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,184536470,568136842
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,210357620,628059792
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,240742196,1002485957
"Population, total",SP.POP.TOTL,Low & middle income,LMY,2251658472,6281293921
"Population, total",SP.POP.TOTL,Low income,LIC,166502848,732448558
"Population, total",SP.POP.TOTL,Lower middle income,LMC,934586665,2972642807
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,105488678,444322417
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,97837766,379901782
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,97837766,375217005
"Population, total",SP.POP.TOTL,Middle income,MIC,2085155624,5548845363
"Population, total",SP.POP.TOTL,North America,NAC,198624409,362492702
"Population, total",SP.POP.TOTL,Not classified,INX,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,788709114,1298037534
"Population, total",SP.POP.TOTL,Other small states,OSS,9196324,30621014
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,865809,2419188
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,754705296,1107374909
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,188636191,904399841
"Population, total",SP.POP.TOTL,Small states,SST,14260440,40324496
"Population, total",SP.POP.TOTL,South Asia,SAS,571835666,1788388852
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,571835666,1788388852
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,228586005,1061107721
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,228544305,1061011878
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,228586005,1061107721
"Population, total",SP.POP.TOTL,Upper middle income,UMC,1150568959,2576202556
"Population, total",SP.POP.TOTL,World,WLD,3032160395,7530360149
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 08/28/2018,,,,,
